timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/09/14 17:03:34.632, 6908 MiB, 0 %, 38, 4.01 W
2026/09/14 17:03:35.636, 6908 MiB, 0 %, 38, 3.82 W
2026/09/14 17:03:36.639, 6908 MiB, 1 %, 38, 3.91 W
2026/09/14 17:03:37.642, 6908 MiB, 22 %, 40, 24.49 W
2026/09/14 17:03:38.645, 6908 MiB, 24 %, 41, 45.01 W
2026/09/14 17:03:39.647, 6908 MiB, 25 %, 41, 39.33 W
2026/09/14 17:03:40.648, 6908 MiB, 16 %, 41, 39.72 W
2026/09/14 17:03:41.651, 6908 MiB, 43 %, 41, 37.76 W
2026/09/14 17:03:42.653, 6910 MiB, 17 %, 41, 39.02 W
2026/09/14 17:03:43.656, 6910 MiB, 44 %, 41, 38.08 W
2026/09/14 17:03:44.659, 6910 MiB, 27 %, 42, 41.73 W
2026/09/14 17:03:45.662, 6910 MiB, 16 %, 41, 40.41 W
2026/09/14 17:03:46.665, 6910 MiB, 29 %, 41, 31.16 W
2026/09/14 17:03:47.668, 6910 MiB, 35 %, 41, 31.23 W
2026/09/14 17:03:48.670, 6910 MiB, 39 %, 41, 33.12 W
2026/09/14 17:03:49.672, 6910 MiB, 19 %, 42, 39.35 W
2026/09/14 17:03:50.673, 6910 MiB, 17 %, 42, 39.17 W
2026/09/14 17:03:51.676, 6910 MiB, 36 %, 41, 34.09 W
2026/09/14 17:03:52.679, 6910 MiB, 29 %, 41, 27.85 W
2026/09/14 17:03:53.682, 6910 MiB, 44 %, 41, 32.73 W
2026/09/14 17:03:54.685, 6910 MiB, 17 %, 42, 43.41 W
2026/09/14 17:03:55.686, 6910 MiB, 34 %, 42, 40.12 W
2026/09/14 17:03:56.688, 6910 MiB, 46 %, 41, 29.62 W
2026/09/14 17:03:57.690, 6910 MiB, 28 %, 41, 29.88 W
2026/09/14 17:03:58.692, 6910 MiB, 28 %, 41, 28.09 W
2026/09/14 17:03:59.694, 6910 MiB, 29 %, 41, 28.87 W
2026/09/14 17:04:00.695, 6910 MiB, 32 %, 41, 29.76 W
